epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,77.245,1.49674,0.68336,0.98708,0.80833,0.000301032,0.000301032,0.000301032
2,151.229,0.73324,0.82068,0.99838,0.49375,0.000574133,0.000574133,0.000574133
3,225.94,0.58374,0.77544,0.99838,0.61749,0.000817236,0.000817236,0.000817236
4,300.313,0.5107,0.83683,0.99838,0.52979,0.000774013,0.000774013,0.000774013
5,375.299,0.43091,0.83199,0.99677,0.52402,0.000729018,0.000729018,0.000729018
6,449.22,0.39475,0.82876,1,0.58135,0.000684022,0.000684022,0.000684022
7,524.141,0.35216,0.84006,0.99838,0.5064,0.000639027,0.000639027,0.000639027
8,598.956,0.30628,0.8643,0.99838,0.40977,0.000594031,0.000594031,0.000594031
9,673.313,0.27159,0.85299,1,0.41921,0.000549036,0.000549036,0.000549036
10,747.204,0.25681,0.86107,1,0.42962,0.00050404,0.00050404,0.00050404
11,824.04,0.22774,0.87399,1,0.39724,0.000459045,0.000459045,0.000459045
12,898.62,0.21923,0.86268,0.99838,0.40556,0.000414049,0.000414049,0.000414049
13,973.944,0.16983,0.86591,0.99838,0.4152,0.000369054,0.000369054,0.000369054
14,1048.84,0.16941,0.8546,0.99838,0.44877,0.000324058,0.000324058,0.000324058
15,1122.68,0.15891,0.86591,0.99838,0.45,0.000279063,0.000279063,0.000279063
16,1197.46,0.14492,0.88853,0.99838,0.40788,0.000234068,0.000234068,0.000234068
17,1272.1,0.13826,0.8643,0.99838,0.42834,0.000189072,0.000189072,0.000189072
18,1346.9,0.12019,0.87722,0.99838,0.41525,0.000144077,0.000144077,0.000144077
19,1420.22,0.12251,0.86914,0.99838,0.41734,9.9081e-05,9.9081e-05,9.9081e-05
20,1494.86,0.11162,0.87722,0.99838,0.41152,5.40855e-05,5.40855e-05,5.40855e-05
